Description,Calories,Protein,Fat,Carbs
"BUTTER,WITH SALT",717.0,0.85,81.11,0.06
"BUTTER,WHIPPED,WITH SALT",717.0,0.85,81.11,0.06
"BUTTER OIL,ANHYDROUS",876.0,0.28,99.48,0.0
"CHEESE,BLUE",353.0,21.4,28.74,2.34
"CHEESE,BRICK",371.0,23.24,29.68,2.79
"CHEESE,BRIE",334.0,20.75,27.68,0.45
"CHEESE,CAMEMBERT",300.0,19.8,24.26,0.46
"CHEESE,CARAWAY",376.0,25.18,29.2,3.06
"CHEESE,CHEDDAR",403.0,24.9,33.14,1.28
"CHEESE,CHESHIRE",387.0,23.37,30.6,4.78
"CHEESE,COLBY",394.0,23.76,32.11,2.57
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,4.3,3.38
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,3.85,4.61
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,0.29,6.66
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,11.83,2.45,3.66
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,12.39,1.02,2.72
"CHEESE,CREAM",342.0,5.93,34.24,4.07
"CHEESE,EDAM",357.0,24.99,27.8,1.43
"CHEESE,FETA",264.0,14.21,21.28,4.09
"CHEESE,FONTINA",389.0,25.6,31.14,1.55
"CHEESE,GJETOST",466.0,9.65,29.51,42.65
"CHEESE,GOUDA",356.0,24.94,27.44,2.22
"CHEESE,GRUYERE",413.0,29.81,32.34,0.36
"CHEESE,LIMBURGER",327.0,20.05,27.25,0.49
"CHEESE,MONTEREY",373.0,24.48,30.28,0.68
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,22.35,2.19
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,21.6,24.64,2.47
"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,24.26,15.92,2.77
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302.0,25.96,20.03,3.83
"CHEESE,MUENSTER",368.0,23.41,30.04,1.12
"CHEESE,NEUFCHATEL",253.0,9.15,22.78,3.59
"CHEESE,PARMESAN,GRATED",431.0,38.46,28.61,4.06
"CHEESE,PARMESAN,HARD",392.0,35.75,25.83,3.22
"CHEESE,PORT DE SALUT",352.0,23.78,28.2,0.57
"CHEESE,PROVOLONE",351.0,25.58,26.62,2.14
"CHEESE,RICOTTA,WHOLE MILK",174.0,11.26,12.98,3.04
"CHEESE,RICOTTA,PART SKIM MILK",138.0,11.39,7.91,5.14
"CHEESE,ROMANO",387.0,31.8,26.94,3.63
"CHEESE,ROQUEFORT",369.0,21.54,30.64,2.0
"CHEESE,SWISS",380.0,26.93,27.8,5.38
"CHEESE,TILSIT",340.0,24.41,25.98,1.88
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371.0,18.13,31.79,3.7
"CHEESE,PAST PROCESS,PIMENTO",375.0,22.13,31.2,1.73
"CHEESE,PAST PROCESS,SWISS",334.0,24.73,25.01,2.1
"CHEESE FD,COLD PK,AMERICAN",331.0,19.66,24.46,8.32
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,25.63,8.56
"CHEESE FD,PAST PROCESS,SWISS",323.0,21.92,24.14,4.5
"CHEESE SPRD,PAST PROCESS,AMERICAN",290.0,16.41,21.23,8.73
"CREAM,FLUID,HALF AND HALF",130.0,2.96,11.5,4.3
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195.0,2.7,19.31,3.66
"CREAM,FLUID,LT WHIPPING",292.0,2.17,30.91,2.96
"CREAM,FLUID,HVY WHIPPING",345.0,2.05,37.0,2.79
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.0,3.2,22.22,12.49
"CREAM,SOUR,RED FAT,CULTURED",135.0,2.94,12.0,4.26
"CREAM,SOUR,CULTURED",193.0,2.07,19.73,2.88
EGGNOG,88.0,4.55,4.19,8.05
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178.0,3.25,16.57,4.68
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63.0,3.33,3.46,4.74
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63.0,3.33,3.4,4.74
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,9.97,11.38
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136.0,1.0,9.97,11.38
"CREAM SUBSTITUTE,POWDERED",545.0,4.79,35.48,54.88
"DESSERT TOPPING,POWDERED",577.0,4.9,39.92,52.54
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194.0,3.61,12.72,17.13
"DESSERT TOPPING,PRESSURIZED",264.0,0.98,22.3,16.07
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,25.31,23.05
"SOUR CRM,IMITN,CULTURED",208.0,2.4,19.52,6.63
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,1.75,3.41,6.16
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.15,3.25,4.8
"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.0,3.28,3.66,4.65
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,3.3,1.98,4.8
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51.0,3.48,1.92,4.97
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,3.95,1.98,5.49
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,3.37,0.97,4.99
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43.0,3.48,0.97,4.97
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48.0,3.93,1.17,5.52
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,0.08,4.96
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,3.57,0.25,5.02
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41.0,3.96,0.25,5.56
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,0.88,4.79
"MILK,LO NA,FLUID",61.0,3.1,3.46,4.46
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,26.71,38.42
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19
"MILK,DRY,NONFAT,CA RED",354.0,35.5,0.2,51.8
"MILK,BUTTERMILK,DRIED",387.0,34.3,5.78,49.0
"MILK,CND,COND,SWTND",321.0,7.91,8.7,54.4
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,6.81,7.56,10.04
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,7.55,0.2,11.35
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.17,3.39,10.34
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,1.9,12.13
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63.0,3.24,1.0,10.44
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,2.34,10.74
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,3.56,4.14,4.45
"MILK,HUMAN,MATURE,FLUID",70.0,1.03,4.38,6.89
"MILK,INDIAN BUFFALO,FLUID",97.0,3.75,6.89,5.18
"MILK,SHEEP,FLUID",108.0,5.98,7.0,5.36
"MILK SHAKES,THICK CHOC",119.0,3.05,2.7,21.15
"MILK SHAKES,THICK VANILLA",112.0,3.86,3.03,17.75
"WHEY,ACID,FLUID",24.0,0.76,0.09,5.12
"WHEY,ACID,DRIED",339.0,11.73,0.54,73.45
"WHEY,SWEET,FLUID",27.0,0.85,0.36,5.14
"WHEY,SWEET,DRIED",353.0,12.93,1.07,74.46
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,3.25,4.66
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,1.55,7.04
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,0.18,7.68
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,1.25,13.8
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,1.15,18.64
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,1.08,19.05
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,4.86,1.41,18.6
"EGG,WHL,RAW,FRSH",143.0,12.56,9.51,0.72
"EGG,WHITE,RAW,FRESH",52.0,10.9,0.17,0.73
"EGG,YOLK,RAW,FRSH",322.0,15.86,26.54,3.59
"EGG,YOLK,RAW,FROZEN",303.0,15.5,25.6,1.15
"EGG,YOLK,RAW,FRZ,SUGARED",307.0,13.8,22.75,10.8
"EGG,WHL,CKD,FRIED",196.0,13.61,14.84,0.83
"EGG,WHL,CKD,HARD-BOILED",155.0,12.58,10.61,1.12
"EGG,WHOLE,COOKED,OMELET",154.0,10.57,11.66,0.64
"EGG,WHL,CKD,POACHED",143.0,12.51,9.47,0.71
"EGG,WHL,CKD,SCRMBLD",149.0,9.99,10.98,1.61
"EGG,WHOLE,DRIED",594.0,47.35,40.95,4.95
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,48.17,43.95,2.38
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,76.92,0.04,4.17
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,82.4,0.04,4.47
"EGG,YOLK,DRIED",666.0,34.25,55.8,3.6
"EGG,DUCK,WHOLE,FRESH,RAW",185.0,12.81,13.77,1.45
"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.87,13.27,1.35
"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,13.05,11.09,0.41
"EGG,TURKEY,WHL,FRSH,RAW",171.0,13.68,11.88,1.15
"EGG SUBSTITUTE,POWDER",444.0,55.5,13.0,21.8
"BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06
"CHEESE,PARMESAN,SHREDDED",415.0,37.86,27.34,3.41
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,0.08,4.96
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56.0,3.95,1.98,5.49
"MILK,CND,EVAP,W/ VIT A",134.0,6.81,7.56,10.04
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19
"CHEESE,GOAT,HARD TYPE",452.0,30.52,35.59,2.17
"CHEESE,GOAT,SEMISOFT TYPE",364.0,21.58,29.84,2.54
"CHEESE,GOAT,SOFT TYPE",268.0,18.52,21.08,0.89
"EGG,YOLK,RAW,FRZ,SALTED",274.0,14.0,23.0,1.6
"CHEESE SUB,MOZZARELLA",248.0,11.47,12.22,23.67
CHEESE FONDUE,229.0,14.23,13.47,3.77
"CHEESE SAU,PREP FROM RECIPE",197.0,10.33,14.92,5.48
"CHEESE,MEXICAN,QUESO ANEJO",373.0,21.44,29.98,4.63
"CHEESE,MEXICAN,QUESO ASADERO",356.0,22.6,28.26,2.87
"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,21.56,29.68,5.56
"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,24.35,7.0,1.91
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,24.35,32.62,1.91
"EGG,WHOLE,RAW,FROZEN",148.0,11.95,10.2,1.05
"EGG,WHITE,RAW,FROZEN",47.0,9.8,0.0,1.05
"EGG,WHITE,DRIED",382.0,81.1,0.0,7.8
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50.0,3.3,1.98,4.8
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42.0,3.37,0.97,4.99
"SOUR CREAM,REDUCED FAT",181.0,7.0,14.1,7.0
"SOUR CREAM,LIGHT",138.0,3.5,10.6,7.1
"SOUR CREAM,FAT FREE",74.0,3.1,0.0,15.6
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,27.2,18.3,2.0
